batch_number,mc_no,date,shift,design,debossed,rm,mb_code,mc_speed,issued_by
2509643,CCM-16,16-09-2025,B,S27LW,PLAIN,M5005L ,N/A,1700,SAI DURGA
2509642,CCM-12,16-09-2025,A,V33HF001,PLAIN,ACP 5331H,PE04407082,500,JAVEED
2509641,CCM-02,16-09-2025,A,S2622CSD 30.37,DAILEE,MB6562,PE33407289,1450,DHANANJAY
2509640,CCM-04,16-09-2025,C,S2612CSD 30.41,PLAIN,MB6561(30%)MB6562(70%),PE33407289,1450,SANGEETA
2509639,CCM-14,16-09-2025,A,S-1881-CSD004,COCA COLA,MB5569,PE94407025,1450,SONIA
2509638,CCM-14,16-09-2025,A,S-1881-CSD004,COCACOLA,MB5569,PL53407100,1400,JAVEED
2509637,CCM-09/10/11,16-09-2025,B,AB-1881-CSD-001,PLAIN,MB5569,PE33407289,500,RAMESHWARI
2509636,CCM-14,16-09-2025,B,S-1881-CSD004,COCACOLA,MB5569,PE94407025,1400,MANISHA
2509635,CCM-16,16-09-2025,B,S27LW,PLAIN,M5005L,26113,1700,MANISHA
2509634,CCM-15,16-09-2025,C,S-1881-CSD-001 R01,COCACOLA,MB6562,PE33407289,1150,MANISHA
2509633,CCM-15,16-09-2025,C,S-1881-CSD-001 R01,COCACOLA,MB6562,PE62475142 ,1150,MANISHA
2509632,CCM-09/10/11,16-09-2025,A,AB-1881-CSD-001,PLAIN,MB5569,PL63407198,500,SANGEETA
2509631,CCM-09/10/11,16-09-2025,B,AB-1881-CSD-001,PLAIN,MB5569,CCA 23010,500,JAVEED
2509630,CCM-15,16-09-2025,A,S-1881-WF,PLAIN,ACP5331H,CCA24122,1200,SANGEETA
2509629,CCM-09/10/11,16-09-2025,A,AB-1881-CSD-001,PLAIN,MB5569,51860,500,SAI DURGA
2509628,CCM-16,16-09-2025,A,S27LW,PLAIN,M5005L,N/A,1700,SAI DURGA
2509627,CCM-02,16-09-2025,C,S2622CSD 30.37,DAILEE,MB6562,PL63407198,1450,DHANANJAY
2509626,CCM-09/10/11,16-09-2025,B,AB-1881-CSD-001,PLAIN,MB5569,23010,500,JAVEED
2509625,CCM-14,16-09-2025,A,S-1881-CSD004,COCA COLA,MB5569,PE33407289,1400,HIMANSHU
2509621,CCM-09/10/11,16-09-2025,A,S-1881-CSD-001,PLAIN,MB5569,PE33407289,500,MANISHA
2509620,CCM-15,16-09-2025,A,S-1881-CSD-001,PLAIN,MB 6562,PE94407025,1150,MANISHA
2509616,CCM-06,16-09-2025,C,30/25,KINLEY,ACP 5331H,PE53407419,430,JAVEED
2509610,CCM-14,16-09-2025,C,S-1881-CSD004,COCACOLA,MB5569,PE04407082,1400,JAVEED
2509571,CCM-17,16-09-2025,C,AB22CSD1,COCA COLA,MB5569,PL53407100,1700,JAYANTI
2509619,CCM-16,16-09-2025,C,S27LW,BISLERI,M5005L,GR 1738,1700,JAVEED
2508619,CCM-16,16-09-2025,C,S27LW,BISLERI,M5005L,GR 1738,1700,JAVEED
2508617,CCM-15,16-09-2025,B,S-1881-CSD-001 R-01,COCA COLA,MB 6562,PE94407025,1150,DHANANJAY
2508616,CCM-06,16-09-2025,C,30/25,KINLEY,ACP 5331H,PE53407419,430,JAVEED
2508615,CCM-16,16-09-2025,A,S27LW,CLEAR,M5005L,PW705CB,1700,MANISHA
2508613,CCM-02,16-09-2025,B,S2622CSD 30.37,DAILEE,MB6562,PE33407289,1450,SAI DURGA
2508612,CCM-09/10/11,16-09-2025,A,S-1881-CSD001,CAMPA,MB 5569,PL43407114,500,MANISHA
2508611,CCM-02,16-09-2025,C,S2622CSD 30.37,DAILEE,MB6562,PE94407025,1450,JAVEED
2508610,CCM-14,16-09-2025,C,S-1881-CSD004,COCACOLA,MB5569,PE04407082,1400,JAVEED
2509609,CCM-03,16-09-2025,C,AB26CSD12 30.41,CAMPA,MB6562+ 6561,PE23407409,1450,JAVEED
2508608,CCM-04,16-09-2025,A,S2612CSD 30.41,SILVASSA,MB6561+MB6562,PE04407082,1450,RAMESHWORY
2508606,CCM-16,16-09-2025,B,S27LW,PLAIN,M5005L,N/A,1700,DHANANJAY
2508605,CCM-02,16-09-2025,B,S2622CSD 30.37,PLAIN,MB5569,PL63407198,1450,DHANANJAY
2508603,CCM-15,16-09-2025,B,S-1881-CSD-001 R01,COCACOLA,MB6562,PL53407100,1150,DHANANJAY
2508601,CCM-3,16-09-2025,A,AB26CSD12 30.41,CAMPA,MB6562+MB6561,17069,1450,SANGEETA
2508600,CCM-16,16-09-2025,A,S27LW,BISLERI,M5005L,GR1738,1700,SONIA
2508599,CCM-12,16-09-2025,B,V33HF001,PLAIN,ACP 5331H,PE04407082,500,DHANANJAY
2508598,CCM-09/10/11,16-09-2025,A,S-1881-CSD001,PLAIN,MB6562,PL53407100,500,DHANANJAY
2508597,CCM-04,16-09-2025,A,S2612CSD 30.41,SILVASA,MB6562+6561,CCAZ3018,1450,DHANANJAY
2508596,CCM-15,16-09-2025,A,S-1881-CSD-001 R01,COCA COLA,MB6562,PE94407025,1150,DHANANJAY
2508595,CCM-02,16-09-2025,A,S2622CSD 30.37,PLAIN,MB6562,PE04407082,1200,DHANANJAY
2508594,CCM-04,16-09-2025,B,AB26CSD12 30.41,CAMPA,MB6562+MB6561,PE23407409,1300,RAMESHWORY
2508593,CCM-16,16-09-2025,A,S27LW,OXYCOOL,M5005L,51196,1700,JAVEED
2508592,CCM-04,16-09-2025,A,AB26CSD12 30.41,CAMPA,MB(6562+6561),PE23407409,1450,SONIA
2508591,CCM-06,16-09-2025,A,30/25,SMARTWATER,ACP 5331H,N/A,450,SONIA
2508590,CCM-02,16-09-2025,A,S2622CSD 30.37,DAILEE,MB6562,PE04407082,1450,JAVEED
2508589,CCM-16,16-09-2025,A,S27LW,OXYCOOL,M5005L,PW 705CB,1700,JAVEED
2508588,CCM-02,16-09-2025,C,S2622CSD 30.37,DAILEE,MB6562,23010,1450,TOMBI
2508587,CCM-16,16-09-2025,B,S27LW,PLAIN,M5005L,51860,1700,JAYANTI
2508586,CCM-01,16-09-2025,A,S29W1 NITRO,KINLEY,ACP5331H,PE53407419,1700,JAVEED
2508585,CCM-02,16-09-2025,A,S2622CSD 30.37,PLAIN,MB5569,5350 CODE-(PE33407026),1450,JAVEED
2508584,CCM-01,16-09-2025,C,S29W1,KINLEY,ACP5331H,PL54407056,1700,JAVEED
2508583,CCM-16,16-09-2025,B,S27LW,PLAIN,M5005L,GR1738,1700,JAYANTI
2508582,CCM-14,16-09-2025,B,S-1881-CSD004,COCA COLA,MB5569,PL53407100,1700,JAYANTI
2508581,CCM-16,16-09-2025,C,S27LW,OXYCOOL,M5005L,PW 705CB,1700,SAI DURGA
2508580,CCM-02,16-09-2025,C,S2622CSD 30.37,PLAIN,MB6562,23010,1450,SAIDURGA
2508579,CCM-06,16-09-2025,A,TAVBK001/IC,PLAIN,ACP5331H,PE94407025,500,TOMBI
2508578,CCM-02,16-09-2025,C,S2622CSD 30.37,PLAIN,MB6562,51860,1450,RAMESHWORY
2508577,CCM-04,16-09-2025,B,AB26CSD12 30.41,PLAIN,MB6562+6561,PE94407025,1450,SANGEETA
2508576,CCM-04,16-09-2025,B,AB26CSD12 30.41,PLAIN,MB6562+6561,PE94407025,1250,SANGEETA
2508575,CCM-16,16-09-2025,B,S27LW,CLEAR,M5005L,PW705CB,1700,TOMBI
2508574,CCM-2,16-09-2025,B,S2622CSD 30.37,PLAIN,MB6562 ,PL63407198,1450,JAVEED
2508573,CCM-03,16-09-2025,A,AB26CSD12 30.41,CAMPA,MB6562+6561,PE63475109,1450,SAI DURGA
2508572,CCM-7/8,16-09-2025,A,AB-1881-HF,MAAZA,ACP5331H,PE33407289,500,LATHA
2508571,CCM-17,16-09-2025,C,AB22CSD1,COCA COLA,MB5569,PL53407100,1700,JAYANTI
2508570,CCM-06,16-09-2025,B,TAVBK001/IC,PLAIN,ACP5331H,41220,500,JAVEED
2508569,CCM-02,16-09-2025,B,S2622CSD 30.37,PLAIN,MB6562,PE33407289(90%)+7709(10%),1450,SANGEETA
2508568,CCM1,16-09-2025,A,S29W NITRO,KINLEY,ACP5331H,PE53407419,1700,SAI DURGA
2508567,CCM-15,16-09-2025,A,S-1881-CSD-001 R01,COCA COLA,MB6562,PL53407100,1150,MANISHA
2508566,CCM-09/10/11,16-09-2025,C,S-1881-CSD001,CAMPA,MB5569,PE23407409,500,JAYANTI
2508565,CCM-06,16-09-2025,A,TAVBK001/IC,PLAIN,ACP5331H,CCA02060V,500,MANISHA
2508564,CCM-02,16-09-2025,C,S2622CSD 30.37,PLAIN,MB6562,PE94407025,1450,MANISHA
2508563,CCM-01,16-09-2025,C,S29W1 NITRO,KINLEY,ACP5331H,PE53407419,1700,JAVEED
2508562,CCM-15,16-09-2025,B,S-1881-CSD-001 R01,COCACOLA,BM5569,PE33407289,1150,MANISHA
2508561,CCM-07/08,16-09-2025,A,AB-1881-HF,MINUTE MAID,ACP5331H,PE04407082,1300,HIMANSHU
2508560,CCM-03,16-09-2025,B,AB26CSD12 30.41,CAMPA,MB6562+ 6561,PE23407409,1450,SAI DURGA
2508559,CCM-09/10/11,16-09-2025,B,S-1881-CSD001,CAMPA,MB5569,CCA25187,500,SAIDURGA
2508558,CCM-17,16-09-2025,C,AB22CSD1,COCA COLA,MB5569,PL53407100,1700,JAVEED
2508557,CCM-06,16-09-2025,B,TAVBK001/IC,PLAIN,ACP5331H,299013,500,SAI DURGA
2508556,CCM-09/10/11,16-09-2025,B,S-1881-CSD001,campa,MB5569,PE23407409,500,SAIDURGA
2508555,CCM-15,16-09-2025,B,S-1881-CSD-001,PLAIN,MB6562,PE94407025,1150,MANISHA
2508554,CCM-04,16-09-2025,A,AB26CSD12 30.41,CAMPA,MB6562+MB6561,PL43407114,1450,RAMESHWORY
2508553,CCM-03,16-09-2025,A,AB26CSD12 30.41,CAMPA,MB6562+MB6561,PL43407114,1450,RAMESHWORY
2508552,CCM-17,16-09-2025,B,AB22CSD1,COCA-COLA,MB5569,PE62475142 ,1700,SAIDURGA
2508550,CCM-17,16-09-2025,C,AB22CSD1,COCA COLA,MB5569,PL53407100,1700,NAOCHA
2508549,CCM-03,16-09-2025,A,AB26CSD12 30.41,CAMPA,MB6562+MB6561,PL43407114,1450,JAVEED
2508548,CCM-02,16-09-2025,B,S2622CSD 30.37,DAILEE,MB6562,PL63407198,1450,SAIDURGA
2508547,CCM-15,16-09-2025,A,S-1881-CSD001,CAMPA,MB5569,PL43407114,1250,JAVEED
2508546,CCM-09/10/11,16-09-2025,A,S-1881-CSD001,CAMPA,MB5569,PL43407114,500,JAVEED
2508521,CCM-06,16-09-2025,C,TAVBK001/IC,PLAIN,"HSACP5331H,",PE94407025,500,SAIDURGA
2508545,CCM-04,16-09-2025,A,AB26CSD12 30.41,CAMPA,MB6562+MB6561,PE04407082,1400,JAVEED
2508543,CCM-17,16-09-2025,A,AB22CSD1,COCA COLA,MB5569,PE04407082,1700,NAOCHA
2508542,CCM-16,16-09-2025,B,PS27W-2,BAILLEY,M5005L,8NA110,1700,NAOCHA
2508539,CCM-15,16-09-2025,C,S-1881-WF,PLAIN,ACP5331H,CCA24122,1200,TOMBI
2508529,CCM-14,16-09-2025,B,S-1881-CSD004,COCA COLA,MB5569,7199,1400,NAOCHA
2508537,CCM-03,16-09-2025,B,AB26CSD12 30.41,CAMPA,MB6562+MB6561,17069,1450,RAMESHWORY
2508538,CCM-02,16-09-2025,B,S2622CSD 30.37,DAILEE,MB6562,PE33407289,1450,RAMESHWORY
2508520,CCM-01,16-09-2025,B,S29W1 NITRO,KINLEY,ACP5331 H,PE53407419,1700,P VINAY 
2507544,CCM-04,16-09-2025,B,AB26CSD12 30.41,CAMPA,MB6562+MB6561,PE23407409,1400,SONIA
